start_station_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster_label
1,1.1932773109243697,1.3582089552238805,1.3846153846153846,1.0833333333333333,1.0666666666666667,1.1,1.6885474860335195,2.307036247334755,4.517102615694165,2.7338551859099804,1.8930288461538463,1.8002773925104023,1.9320148331273177,1.8635794743429286,1.8035714285714286,1.7687074829931972,1.8328840970350404,2.286463798530955,2.721881390593047,1.8569570871261378,1.5091514143094842,1.3146417445482865,1.4308943089430894,1.4088050314465408,0
2,1.3853503184713376,1.518796992481203,1.345679012345679,1.2916666666666667,1.2380952380952381,1.119047619047619,1.203187250996016,1.68,3.2383316782522344,2.474095796676442,2.5982575024201355,3.094966761633428,3.400186567164179,3.675090252707581,3.847259658580413,4.126297577854671,4.105670103092783,4.977777777777778,5.134599504541701,3.2844036697247705,2.5173210161662816,2.005714285714286,1.7135135135135136,1.5349301397205588,3
3,1.446969696969697,1.4107142857142858,1.4647887323943662,1.2058823529411764,1.6296296296296295,1.037037037037037,1.2580645161290323,3.549317147192716,6.345804988662132,2.6916890080428955,1.8198473282442749,1.8253094910591472,2.5388888888888888,2.2096018735363,1.868811881188119,2.432584269662921,4.633761105626851,13.751677852348994,8.217131474103585,3.1437740693196408,2.037878787878788,1.5903307888040712,1.5335570469798658,1.38755980861244,3
4,1.4196428571428572,1.5586206896551724,1.3982300884955752,1.3780487804878048,1.2258064516129032,1.1578947368421053,1.3421052631578947,2.772027972027972,5.430656934306569,4.132397191574724,2.4471544715447155,2.0252659574468086,1.9137254901960785,1.7435549525101763,1.7405247813411078,1.7762962962962963,1.8136482939632546,1.9807228915662651,1.9728453364817,1.8172205438066464,1.640893470790378,1.580865603644647,1.5755968169761274,1.6756756756756757,0
5,1.5295454545454545,1.3298969072164948,1.3983739837398375,1.2933333333333332,1.1428571428571428,1.0857142857142856,1.362862010221465,2.227832512315271,3.9827586206896552,3.5571161048689137,2.6185365853658538,2.6591796875,3.470735785953177,3.4389815627743636,3.808455565142364,4.062871707731521,4.360723089564503,7.044319097502014,8.443719412724306,5.004280821917808,2.874381800197824,2.3580786026200875,2.2020785219399537,1.839385474860335,3
6,1.4682926829268292,1.3770491803278688,1.25,1.25,1.3061224489795917,1.0666666666666667,1.1745283018867925,1.5459882583170255,2.9229122055674517,2.3514689880304678,2.0982532751091703,2.269392033542977,2.895985401459854,3.1765734265734267,3.1998183469573114,3.622950819672131,5.170529801324503,7.054121565362198,4.508576329331047,2.76953125,1.9694148936170213,1.6768982229402263,1.5158878504672897,1.4812286689419796,3
7,1.7727272727272727,1.360655737704918,1.5,1.8333333333333333,1.2272727272727273,1.1552346570397112,1.3908730158730158,3.0644444444444443,3.8655139289145053,2.1343825665859564,1.9285714285714286,2.0,2.2091988130563798,2.244131455399061,2.317230273752013,2.3557993730407523,2.2594268476621417,2.2783251231527095,2.20625,2.1843393148450243,1.978,1.9074074074074074,1.6106870229007633,1.7514450867052023,0
8,1.6026490066225165,1.8,1.446808510638298,1.2926829268292683,1.1692307692307693,1.063157894736842,1.3822393822393821,2.0496350364963503,4.200831024930748,2.7607361963190185,2.622257053291536,3.1016666666666666,3.278523489932886,3.26742301458671,3.283609576427256,3.1713780918727914,2.924693520140105,3.0205047318611986,3.343362831858407,2.8089171974522293,2.349056603773585,2.0182370820668694,1.9051724137931034,1.8469945355191257,0
9,1.7916666666666667,1.7279411764705883,2.0,1.9333333333333333,1.7352941176470589,1.2027027027027026,1.3918367346938776,2.2175438596491226,2.9305555555555554,1.8028846153846154,1.7937158469945356,2.160200250312891,2.698443579766537,2.8174097664543525,2.9812889812889813,3.3173164097914776,4.75190516511431,6.3006872852233675,4.075770925110132,2.755533199195171,2.357843137254902,2.2062841530054644,2.134069400630915,1.8773841961852862,3
10,1.644736842105263,1.5192307692307692,1.6440677966101696,1.1818181818181819,1.24,1.0842105263157895,1.1365853658536584,1.5211786372007365,1.8331090174966354,1.6552706552706553,1.5706521739130435,1.891025641025641,2.335927367055772,2.6214622641509435,2.89272030651341,2.847665847665848,2.9169398907103825,3.5701839303000966,3.1709053916581893,2.3540609137055837,2.018032786885246,1.9621513944223108,1.9142212189616252,1.685483870967742,0
